id,version_id,personal_id,name,status_magnifications,like_taste,dislike_taste,description
1,3,1,がんばりや,"1.0,1.0,1.0,1.0,1.0,1.0",なし,なし,補正なし
2,3,2,さみしがり,"1.0,1.1,0.9,1.0,1.0,1.0",からい,すっぱい,A↑B↓
3,3,3,いじっぱり,"1.0,1.1,1.0,0.9,1.0,1.0",からい,しぶい,A↑C↓
4,3,4,やんちゃ,"1.0,1.1,1.0,1.0,0.9,1.0",からい,にがい,A↑D↓
5,3,5,ゆうかん,"1.0,1.1,1.0,1.0,1.0,0.9",からい,あまい,A↑S↓
6,3,6,ずぶとい,"1.0,0.9,1.1,1.0,1.0,1.0",すっぱい,からい,B↑A↓
7,3,7,すなお,"1.0,1.0,1.0,1.0,1.0,1.0",なし,なし,補正なし
8,3,8,わんぱく,"1.0,1.0,1.1,0.9,1.0,1.0",すっぱい,しぶい,B↑C↓
9,3,9,のうてんき,"1.0,1.0,1.1,1.0,0.9,1.0",すっぱい,にがい,B↑D↓
10,3,10,のんき,"1.0,1.0,1.1,1.0,1.0,0.9",すっぱい,あまい,B↑S↓
11,3,11,ひかえめ,"1.0,0.9,1.0,1.1,1.0,1.0",しぶい,からい,C↑A↓
12,3,12,おっとり,"1.0,1.0,0.9,1.1,1.0,1.0",しぶい,すっぱい,C↑B↓
13,3,13,てれや,"1.0,1.0,1.0,1.0,1.0,1.0",なし,なし,補正なし
14,3,14,うっかりや,"1.0,1.0,1.0,1.1,0.9,1.0",しぶい,にがい,C↑D↓
15,3,15,れいせい,"1.0,1.0,1.0,1.1,1.0,0.9",しぶい,あまい,C↑S↓
16,3,16,おだやか,"1.0,0.9,1.0,1.0,1.1,1.0",にがい,からい,D↑A↓
17,3,17,おとなしい,"1.0,1.0,0.9,1.0,1.1,1.0",にがい,すっぱい,D↑B↓
18,3,18,しんちょう,"1.0,1.0,1.0,0.9,1.1,1.0",にがい,しぶい,D↑C↓
19,3,19,きまぐれ,"1.0,1.0,1.0,1.0,1.0,1.0",なし,なし,補正なし
20,3,20,なまいき,"1.0,1.0,1.0,1.0,1.1,0.9",にがい,あまい,D↑S↓
21,3,21,おくびょう,"1.0,0.9,1.0,1.0,1.0,1.1",あまい,からい,S↑A↓
22,3,22,せっかち,"1.0,1.0,0.9,1.0,1.0,1.1",あまい,すっぱい,S↑B↓
23,3,23,ようき,"1.0,1.0,1.0,0.9,1.0,1.1",あまい,しぶい,S↑C↓
24,3,24,むじゃき,"1.0,1.0,1.0,1.0,0.9,1.1",あまい,にがい,S↑D↓
25,3,25,まじめ,"1.0,1.0,1.0,1.0,1.0,1.0",なし,なし,補正なし
26,4,1,がんばりや,"1.0,1.0,1.0,1.0,1.0,1.0",なし,なし,補正なし
27,4,2,さみしがり,"1.0,1.1,0.9,1.0,1.0,1.0",からい,すっぱい,A↑B↓
28,4,3,いじっぱり,"1.0,1.1,1.0,0.9,1.0,1.0",からい,しぶい,A↑C↓
29,4,4,やんちゃ,"1.0,1.1,1.0,1.0,0.9,1.0",からい,にがい,A↑D↓
30,4,5,ゆうかん,"1.0,1.1,1.0,1.0,1.0,0.9",からい,あまい,A↑S↓
31,4,6,ずぶとい,"1.0,0.9,1.1,1.0,1.0,1.0",すっぱい,からい,B↑A↓
32,4,7,すなお,"1.0,1.0,1.0,1.0,1.0,1.0",なし,なし,補正なし
33,4,8,わんぱく,"1.0,1.0,1.1,0.9,1.0,1.0",すっぱい,しぶい,B↑C↓
34,4,9,のうてんき,"1.0,1.0,1.1,1.0,0.9,1.0",すっぱい,にがい,B↑D↓
35,4,10,のんき,"1.0,1.0,1.1,1.0,1.0,0.9",すっぱい,あまい,B↑S↓
36,4,11,ひかえめ,"1.0,0.9,1.0,1.1,1.0,1.0",しぶい,からい,C↑A↓
37,4,12,おっとり,"1.0,1.0,0.9,1.1,1.0,1.0",しぶい,すっぱい,C↑B↓
38,4,13,てれや,"1.0,1.0,1.0,1.0,1.0,1.0",なし,なし,補正なし
39,4,14,うっかりや,"1.0,1.0,1.0,1.1,0.9,1.0",しぶい,にがい,C↑D↓
40,4,15,れいせい,"1.0,1.0,1.0,1.1,1.0,0.9",しぶい,あまい,C↑S↓
41,4,16,おだやか,"1.0,0.9,1.0,1.0,1.1,1.0",にがい,からい,D↑A↓
